"ID","Producto","Fabricante","Familia","Marca","Código de barras","Troquel","Código externo","Habilitado","Nodo Habilitado","Estado","Nodo","Acciones"
"100100000000112345","DISPITA PLATO TERM INVOLC+CUB","","","","7798037310873","","A50000246","SI","FTW","1","FTW",""
"730841","{DISPITA PORTA MAM C/FUND BOR","DISPITA","PORTA MAMADERA                     (BYN)","DISPITA","7798038314864","D10631","A88826701","SI","FTW","3","FTW",""
"730840","DISPITA PORTA MAM C/FUNDA","DISPITA","PORTA MAMADERA                     (BYN)","DISPITA","7798038310903","D10614","A88826700","SI","FTW","1","FTW",""
"730839","DISPITA PORTA MAM DECORADO","DISPITA","PORTA MAMADERA                     (BYN)","DISPITA","7798038310897","D10613","A88826699","SI","FTW","1","FTW",""
"100100000000080301","{DISPITA PORTA MAMADERA DECOR","","","","7798038318091","D60014","A88978838","SI","FTW","3","FTW",""
"100100000000188020","DISPITA PROT A/CIERRE PTA X1","DISPITA","ACCESORIO                          (BYN)","DISPITA","7798038313966","D11397","A50069258","SI","FTW","1","FTW",""
"100100000000188021","DISPITA PROT A/CIERRE PTA X2","DISPITA","ACCESORIO                          (BYN)","DISPITA","7798345762020","D11397","A50069259","SI","FTW","1","FTW",""
"100100000000188022","DISPITA PROT A/CIERRE PTA X4","DISPITA","ACCESORIO                          (BYN)","DISPITA","7798345762037","D11397","A50069260","SI","FTW","1","FTW",""
"923053","DISPITA PROT D/SUEÑO EN 2PZAS","DISPITA","ACCESORIO                          (BYN)","DISPITA","7798038316929","D11397","A88870873","SI","FTW","1","FTW",""
"1020848","DISPITA PROT LLUVIA COCHE COM","DISPITA","ACCESORIO                          (BYN)","DISPITA","7798038311108","D11838","A88899447","SI","FTW","1","FTW",""
"731060","DISPITA PROT LLUVIA COCHECITO","DISPITA","COCHECITO                          (BYN)","DISPITA","7798038311894","D11803","A88826922","SI","FTW","1","FTW",""
"100100000000186518","DISPITA PROT MAMARIO     X 12","","","","7798345761757","D10319","A50067912","SI","FTW","1","FTW",""
"100100000000188072","DISPITA PROT MAMARIO     X 24","DISPITA","PROTECTOR MAMARIO / COPETE         (BYN)","DISPITA","7798345761764","D10308","A50069310","SI","FTW","1","FTW",""
"730794","DISPITA PROT MAMARIO     X 30","DISPITA","PROTECTOR MAMARIO / COPETE         (BYN)","DISPITA","7798038310743","D10308","A88826654","SI","FTW","1","FTW",""
"100100000000167374","DISPITA PROT MAMARIO LAV X6UN","","","","7798345761429","D10308","A50056668","SI","FTW","1","FTW",""
"730876","DISPITA PROT P/PEZONES","DISPITA","PEZONERA                           (BYN)","DISPITA","7798038314161","D10822","A88826736","SI","FTW","1","FTW",""
"875131","DISPITA PROTEC DE LLUVIA COCH","DISPITA","COCHECITO                          (BYN)","DISPITA","7798038316011","D11825","A88854858","SI","FTW","1","FTW",""
"100100000000120714","DISPITA PROTEC PEZON ALI TE S","","","","7798345760347","D11167","A50008739","SI","FTW","1","FTW",""
"730845","DISPITA RALLADOR P/ALIMENTOS","DISPITA","ACCESORIO                          (BYN)","DISPITA","7798038310927","D10616","A88826705","SI","FTW","1","FTW",""
"730889","DISPITA RED INODORO","DISPITA","SEGURIDAD DEL HOGAR PARA BEBE      (BYN)","DISPITA","7798038311177","D10809","A88826749","SI","FTW","1","FTW",""
"730890","DISPITA RED INODORO C/RESPAL","DISPITA","SEGURIDAD DEL HOGAR PARA BEBE      (BYN)","DISPITA","7798038315120","D10825","A88826750","SI","FTW","1","FTW",""
"100100000000095407","DISPITA REP RED P/ALIMENTADX5","","","","7798038318725","D11152","A88994621","SI","FTW","1","FTW",""
"100100000000120713","{DISPITA REP SIL ALIMENTAD X2","","","","7798038319081","D11164","A50008738","SI","FTW","3","FTW",""
"100100000000019407","DISPITA SACALECHE ANAT E/SIMP","DISPITA","SACALECHE                          (BYN)","DISPITA","7798038312235","D10830","A88919530","SI","FTW","1","FTW",""
"730893","DISPITA SACALECHE C/BIB","DISPITA","SACALECHE                          (BYN)","DISPITA","7798038311191","D10812","A88826753","SI","FTW","1","FTW",""
"100100000000019406","{DISPITA SACALECHE C/BOMB ESP","DISPITA","SACALECHE                          (BYN)","DISPITA","7798038312228","D10831","A88919529","SI","FTW","3","FTW",""
"100100000000019405","DISPITA SACALECHE C/BOMBA","DISPITA","SACALECHE                          (BYN)","DISPITA","7798038313461","D10832","A88919528","SI","FTW","1","FTW",""
"100100000000068638","DISPITA SACALECHE E/SIMP VID","","","","7798038317704","D10835","A88968304","SI","FTW","1","FTW",""
"100100000000019404","DISPITA SACALECHE PISTON D/CI","DISPITA","SACALECHE                          (BYN)","DISPITA","7798038316042","D10829","A88919527","SI","FTW","1","FTW",""
"100100000000120685","DISPITA SACALECHE SIL BASE","","","","7798038318954","D10843","A50008710","SI","FTW","1","FTW",""
"730892","DISPITA SACALECHE STD","DISPITA","SACALECHE                          (BYN)","DISPITA","7798038313454","D10811","A88826752","SI","FTW","1","FTW",""
"100100000000136276","DISPITA SET CANASTA/BAñO","","","","7798345760507","","A50024718","SI","FTW","1","FTW",""
"891058","DISPITA SET CR P/EMBARAZADAS","DISPITA","ACCESORIO                          (BYN)","DISPITA","7798038316707","D11745","A88864002","SI","FTW","1","FTW",""
"100100000000113029","DISPITA SET CUBIERTOS","","","","7798037310835","D10602","A50000944","SI","FTW","1","FTW",""
"730803","DISPITA SET DE ALIMENTACION","DISPITA","ACCESORIO                          (BYN)","DISPITA","7798038314291","D10524","A88826663","SI","FTW","1","FTW",""
"965653","DISPITA SET OSITO ACCESORIOS","DISPITA","ACCESORIO                          (BYN)","DISPITA","7798038310125","D10536","A88885958","SI","FTW","1","FTW",""
"100100000000070840","DISPITA SET OSITO HIGIENE INF","","","","7798038317803","D10543","A88971058","SI","FTW","1","FTW",""
"965654","DISPITA SET OSITO PERFUMERIA","DISPITA","ACCESORIO                          (BYN)","DISPITA","7798038317247","D10534","A88885959","SI","FTW","1","FTW",""
