"ID","Producto","Fabricante","Familia","Marca","Código de barras","Troquel","Código externo","Habilitado","Nodo Habilitado","Estado","Nodo","Acciones"
"100100000000125290","ACF VINCHA BLANCA","","","","7798111210779","","A50013459","SI","FTW","1","FTW",""
"100100000000125326","{ACF VINCHA MOÑO","","","","7798111211141","","A50013498","SI","FTW","3","FTW",""
"100100000000125325","ACF VINCHA MOÑO BORDADA","","","","7798111211103","","A50013497","SI","FTW","1","FTW",""
"100100000000143705","{ACF VINCHA MOÑO BORDADA CAJ","","","","17798111211100","","A50032147","SI","FTW","3","FTW",""
"100100000000160222","AIN VEGAN PORTA SOLID JAB/SH","","","","7798399360159","","A50049234","SI","FTW","1","FTW",""
"100100000000092318","AJO AJO PELUSEROS SURTIDOS","","","","7798155720289","","A88989837","SI","FTW","1","FTW",""
"722069","ALASKA PIEDRA P/PIE","C&T","PIEDRA                           (PE.AC)","ALASKA","","","A88814399","SI","FTW","1","FTW",""
"100100000000204788","ALGABO CARE ESPONJA ESPUMA","ALGABO SA","ESPONJA                          (PE.AC)","ALGABO","7791274201714","AL6041005","A50085984","SI","FTW","1","FTW",""
"100100000000204790","ALGABO CARE ESPONJA EXFOLIANT","ALGABO SA","ESPONJA                          (PE.AC)","ALGABO","7791274201721","AL6041006","A50085985","SI","FTW","1","FTW",""
"100100000000204786","ALGABO CARE ESPONJA FLOR","ALGABO SA","ESPONJA                          (PE.AC)","ALGABO","7791274201677","AL6041001","A50085978","SI","FTW","1","FTW",""
"100100000000204787","ALGABO CARE ESPONJA GUANTE","ALGABO SA","ESPONJA                          (PE.AC)","ALGABO","7791274201684","AL6041002","A50085983","SI","FTW","1","FTW",""
"100100000000204789","ALGABO CARE ESPONJA MANOPLA","ALGABO SA","ESPONJA                          (PE.AC)","ALGABO","7791274201707","AL6041004","A50085986","SI","FTW","1","FTW",""
"100100000000204791","ALGABO CARE ESPONJA VEGETAL","ALGABO SA","ESPONJA                          (PE.AC)","ALGABO","7791274201691","AL6041003","A50085987","SI","FTW","1","FTW",""
"134940000000000823","ALICATE  PROFESIONAL C. GIRL","VARIOS","","","2221","6935809885012","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"100100000000164037","ALLURE 94CB7050 ADHFP","","","","7798403350350","","A50053195","SI","FTW","1","FTW",""
"100100000000164036","ALLURE 94HC8050 AP","","","","7799111037953","","A50053194","SI","FTW","1","FTW",""
"100100000000126566","ALLURE CORTA CAB HC9010AN","","","","7796962987963","","A50014762","SI","FTW","1","FTW",""
"100100000000170239","ALLURE CORTA CAB PROFESSIONAL","","","","7798403350336","","A50059552","SI","FTW","1","FTW",""
"100100000000170240","ALLURE PLANCHA CALENT ULT/RAP","","","","7799111037755","","A50059553","SI","FTW","1","FTW",""
"100100000000157459","ALLURE PLANCHA PE 94PL1010AP","","","","7799111037755","","A50046370","SI","FTW","1","FTW",""
"100100000000157458","ALLURE PLANCHA PE 94PL1020AP","","","","7799111035621","","A50046369","SI","FTW","1","FTW",""
"100100000000126567","ALLURE PLANCHA PELO PL1030AN","","","","7796962987956","","A50014763","SI","FTW","1","FTW",""
